B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,id,plot,ndvi,evi,savi,msi,bsi,ndbi,nbi,bal,mbi,ndsoil,blfei
387.5,317.0,508.5,444.0,840.5,1459.0,1661.5,1776.0,1864.5,2293.5,1662.0,1053.0,9,1,0.6,1.6137630239883693,0.8566348469754479,0.9358108108108109,0.0030959752321981426,-0.03315881326352531,415.5,330.0,0.24014696058784235,0.34870317002881845,-0.426303368375885
387.5,488.0,650.0,650.0,992.0,1598.5,1805.5,1868.5,1949.0,2293.5,1981.5,1399.0,9,1,0.48381973396863215,1.4440625740696846,0.6907771877560613,1.0604763179020604,0.05513231756214916,0.02935064935064935,689.3096066363393,763.0,0.25500095256239286,0.365544167886774,-0.3754844680974143
707.0,782.0,1001.0,1139.0,1434.0,1700.0,1810.0,1883.0,1946.0,1897.0,2616.0,2215.0,9,2,0.24619457313037724,0.6519453207150367,0.3515160658913959,1.389272437599575,0.16978193146417445,0.16292509446543676,1582.3813064259161,1872.0,0.2792672028596962,0.3774875621890547,-0.28624108825698596
707.0,782.0,1001.0,1139.0,1434.0,1700.0,1810.0,1883.0,1946.0,1897.0,2616.0,2215.0,9,2,0.24619457313037724,0.6519453207150367,0.3515160658913959,1.389272437599575,0.16978193146417445,0.16292509446543676,1582.3813064259161,1872.0,0.2792672028596962,0.3774875621890547,-0.28624108825698596
707.0,876.0,1134.0,1375.0,1510.0,1787.0,1851.0,1971.0,2043.0,1897.0,2733.0,2319.0,9,2,0.1781231320980275,0.4079956188389924,0.2543273006321965,1.386605783866058,0.18130841121495328,0.16198979591836735,1906.5829528158295,2137.0,0.2782998718496369,0.34317984361424847,-0.25877024641129964
707.0,771.0,927.0,1122.0,1375.0,1586.0,1718.0,1658.0,1862.0,1897.0,2674.0,2319.0,9,2,0.19280575539568345,0.5137051945562584,0.2752842368153392,1.6127864897466828,0.2195983935742972,0.234533702677747,1809.546441495778,2138.0,0.3040896105848745,0.4288354898336414,-0.29491525423728815
707.0,771.0,927.0,1122.0,1375.0,1586.0,1718.0,1658.0,1862.0,1897.0,2674.0,2319.0,9,2,0.19280575539568345,0.5137051945562584,0.2752842368153392,1.6127864897466828,0.2195983935742972,0.234533702677747,1809.546441495778,2138.0,0.3040896105848745,0.4288354898336414,-0.29491525423728815
735.0,737.0,957.0,1150.0,1357.0,1597.0,1665.0,1707.0,1830.0,2015.0,2626.0,2262.0,9,2,0.19495974798739937,0.4520370069793864,0.2783608195902049,1.5383714118336262,0.21414790996784566,0.2120932379413801,1769.1271236086702,2069.0,0.2963608794541319,0.40540540540540543,-0.2865191475463379
735.0,737.0,957.0,1150.0,1357.0,1597.0,1665.0,1707.0,1830.0,2015.0,2626.0,2262.0,9,2,0.19495974798739937,0.4520370069793864,0.2783608195902049,1.5383714118336262,0.21414790996784566,0.2120932379413801,1769.1271236086702,2069.0,0.2963608794541319,0.40540540540540543,-0.2865191475463379
670.5,766.5,1017.0,1279.0,1456.0,1566.0,1620.0,1707.0,1788.5,1924.5,2664.0,2355.0,9,2,0.14333556597454788,0.2945021674809055,0.20465385403565733,1.5606326889279438,0.22901893555676772,0.2189430336307481,1996.04920913884,2236.0,0.292149866190901,0.39679715302491103,-0.26425690105196553
